result,object,exe_time,cycle
8,2,101,-451
8,2,99,-100
8,2,99,-109
8,2,103,-104
8,1,100,-116
8,1,101,-136
8,2,100,-106
8,1,101,-116
8,1,97,-98
8,1,97,-110
8,1,85,-86
8,1,100,-103
8,1,99,-100
8,2,100,-130
8,1,109,-110
8,1,100,-113
8,1,98,-114
8,1,95,-126
8,1,100,-113
8,1,99,-142
8,1,99,-127
4,1,99,-111
8,1,99,-125
8,2,100,-102
8,1,100,-114
8,1,97,-98
8,1,96,-98
8,1,99,-106
8,1,96,-100
8,1,95,-106
8,1,96,-128
8,1,100,-103
8,1,101,-117
8,1,100,-136
8,1,95,-127
8,1,100,-119
8,1,100,-113
8,1,100,-120
8,1,100,-124
8,1,100,-121
8,1,102,-129
8,1,91,-92
8,1,94,-98
8,1,94,-128
8,1,93,-102
8,1,76,-76
8,1,72,-83
8,1,73,-100
8,1,72,-73
8,1,72,-95
8,1,73,-87
8,1,71,-92
8,1,70,-70
8,1,70,-78
8,1,70,-90
8,1,73,-100
8,1,72,-73
8,1,71,-82
8,1,72,-74
8,1,74,-99
8,1,71,-87
8,1,75,-81
8,1,77,-89
8,1,71,-92
8,1,70,-70
8,1,70,-78
8,1,72,-88
8,1,70,-81
8,1,73,-97
8,1,71,-76
8,1,71,-72
8,1,70,-76
8,1,74,-102
8,1,71,-94
8,1,72,-92
8,1,70,-93
8,1,71,-73
8,1,72,-74
8,1,76,-100
8,1,71,-90
8,1,72,-110
8,1,76,-79
8,1,97,-102
8,1,99,-110
8,1,97,-98
8,1,99,-103
8,1,96,-106
8,1,96,-97
8,1,97,-120
8,1,101,-102
8,1,100,-102
8,1,101,-116
8,1,103,-139
8,1,100,-106
8,1,95,-104
8,1,98,-129
8,1,101,-133
8,1,96,-98
8,1,97,-98
8,1,95,-114
8,1,94,-99
8,1,96,-97
8,1,96,-117
8,1,99,-137
8,1,96,-113
8,1,94,-95
8,1,98,-106
8,2,100,-120
8,1,99,-105
8,2,100,-125
8,2,100,-126
8,2,100,-126
8,2,95,-96
8,2,100,-121
8,1,98,-113
8,2,100,-123
8,1,85,-86
8,1,82,-87
8,1,83,-83
8,1,82,-87
8,1,83,-84
8,1,83,-91
8,1,82,-93
8,1,79,-88
8,1,80,-81
8,1,81,-82
8,1,83,-95
8,1,80,-96
8,2,82,-105
8,2,81,-82
8,2,80,-95
8,2,80,-95
8,2,81,-93
8,2,81,-97
8,2,81,-89
8,2,83,-91
8,2,85,-103
8,3,80,-91
8,3,81,-81
8,3,85,-118
8,3,87,-112
8,2,87,-97
8,2,83,-83
8,2,83,-107
8,3,84,-123
8,3,85,-87
8,2,83,-104
8,2,88,-89
8,2,90,-104
8,2,86,-94
8,2,83,-96
8,2,85,-94
8,3,83,-131
8,3,84,-85
8,3,90,-101
4,2,86,-87
4,2,86,-105
4,2,84,-107
4,2,84,-85
8,2,86,-97
8,1,83,-91
8,1,88,-112
8,1,81,-114
8,1,100,-121
8,1,101,-127
8,1,101,-122
8,1,104,-105
8,1,95,-107
8,1,99,-136
8,1,98,-119
8,1,100,-101
8,1,100,-102
8,1,102,-103
8,1,100,-104
8,1,102,-118
4,1,101,-126
4,1,98,-99
8,2,100,-133
8,2,99,-160
8,2,100,-107
8,2,101,-129
8,2,97,-98
8,2,100,-129
8,2,95,-115
8,2,97,-97
8,1,98,-98
8,2,96,-120
8,2,98,-133
8,2,103,-109
8,1,99,-111
